id,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9
sensor_1084,66.5,59.1,43.8,88.7,49.3,22.5,49.7,38.2,94.0
sensor_1085,74.1,52.1,48.4,47.8,46.9,12.5,60.2,96.1,47.8
sensor_1086,78.0,65.3,37.2,31.8,56.0,21.4,58.8,60.8,36.4
sensor_1087,77.9,45.3,46.2,10.5,82.6,88.7,51.4,14.9,14.9
sensor_1088,84.6,68.4,40.0,18.8,36.1,53.3,39.8,15.5,76.6
sensor_1089,70.6,76.5,14.8,28.4,23.0,76.6,54.5,30.1,70.7
sensor_1090,86.6,37.1,37.9,98.9,10.6,53.6,71.8,20.3,10.0
sensor_1091,64.3,20.9,18.7,28.4,52.6,84.9,49.9,15.0,21.0
sensor_1092,46.4,98.3,83.7,85.7,59.2,83.9,71.3,87.3,65.5
sensor_1093,48.9,67.2,26.6,83.6,69.1,25.4,76.7,59.1,52.8
sensor_1094,36.1,70.0,96.2,54.3,70.0,45.2,72.7,19.6,47.5
sensor_1095,48.2,12.5,51.1,60.7,11.0,37.2,68.0,90.3,65.7
sensor_1096,13.8,91.5,96.6,52.1,75.0,34.9,98.3,42.2,86.9
sensor_1097,55.2,41.4,73.5,45.1,15.6,69.0,41.6,74.7,40.5
sensor_1098,74.3,80.7,35.0,78.6,37.2,45.4,92.4,68.0,43.8
sensor_1099,52.4,69.2,61.8,93.4,79.7,57.2,21.6,39.1,95.9
sensor_1100,41.3,65.5,46.3,14.0,86.6,24.3,18.7,19.5,94.0
sensor_1101,52.8,78.3,98.2,82.7,75.9,31.3,90.9,25.6,90.2
sensor_1102,77.9,47.8,15.8,65.0,20.3,86.1,16.6,78.6,64.5
sensor_1103,85.6,93.0,38.9,72.8,43.9,98.9,61.6,28.0,32.7
sensor_1104,49.3,35.7,28.1,24.6,83.2,82.7,27.3,62.3,66.6
sensor_1105,70.1,28.3,82.8,90.3,42.3,46.7,59.1,16.5,26.7
sensor_1106,75.6,91.9,67.7,54.6,84.8,61.3,52.6,41.7,65.6
sensor_1107,60.2,22.4,16.0,48.4,43.8,16.4,17.0,80.3,36.8
sensor_1108,20.6,30.7,64.1,39.7,30.1,94.6,92.9,32.6,73.2
sensor_1109,16.1,88.3,97.0,16.7,61.7,86.7,93.8,55.0,45.9
sensor_1110,15.1,72.7,20.0,52.3,92.5,33.6,12.7,40.4,33.5
sensor_1111,40.1,78.7,22.5,59.2,76.0,93.1,69.6,89.0,31.2
sensor_1112,16.6,95.2,91.3,73.2,78.8,13.2,98.2,95.4,63.8
sensor_1113,65.1,17.2,59.6,95.1,34.3,13.8,13.2,55.6,68.5
sensor_1114,48.8,37.3,86.4,97.3,11.9,15.0,79.5,82.9,58.0
sensor_1115,87.3,71.3,76.3,59.7,14.7,78.8,72.5,48.6,48.4
sensor_1116,22.4,49.4,90.7,98.3,43.1,27.4,49.2,15.2,30.9
sensor_1117,62.9,30.4,77.2,89.9,81.3,61.1,99.1,11.3,74.7
sensor_1118,83.1,16.9,21.4,26.2,13.9,41.4,68.9,32.0,36.3
sensor_1119,64.5,53.0,21.0,16.9,32.5,58.9,54.5,76.1,42.1
sensor_1120,92.3,29.8,74.1,94.6,80.1,36.3,68.8,57.4,34.1
sensor_1121,72.7,55.3,14.9,90.9,73.4,65.9,35.2,28.3,22.3
sensor_1122,97.7,30.7,76.7,28.9,43.5,83.4,22.8,97.9,72.8
sensor_1123,68.4,50.8,20.3,54.9,13.0,35.0,44.5,84.4,17.6
sensor_1124,35.1,64.8,54.5,87.6,44.6,14.0,28.5,26.6,48.8
sensor_1125,14.7,37.4,58.7,41.3,12.3,64.7,90.3,93.0,91.6
sensor_1126,82.8,63.1,78.1,40.7,84.5,49.0,48.4,75.6,76.1
sensor_1127,15.1,19.8,44.9,74.8,70.9,87.2,94.3,51.7,61.5
sensor_1128,61.1,56.7,24.6,44.3,77.0,93.1,21.9,11.4,81.9
sensor_1129,95.5,17.7,32.5,58.8,40.3,45.5,65.3,42.5,69.3
sensor_1130,80.3,82.8,64.7,21.2,61.1,38.9,33.8,26.1,51.6
sensor_1131,49.5,51.9,96.8,53.2,85.9,29.6,15.3,94.4,34.9
sensor_1132,64.9,38.2,15.8,26.2,78.9,34.8,88.1,21.4,66.7
sensor_1133,23.2,65.6,14.5,20.3,13.5,71.5,87.4,62.1,13.8
sensor_1134,74.5,15.5,74.2,33.3,33.1,71.0,87.1,41.8,74.6
sensor_1135,64.0,41.4,17.0,49.9,55.9,31.3,39.3,43.4,84.0
sensor_1136,47.4,67.7,88.7,22.9,39.4,80.9,40.1,46.7,68.6
sensor_1137,52.3,97.5,65.9,24.4,14.0,93.6,92.0,12.3,64.8
sensor_1138,82.6,55.9,80.2,55.7,62.3,40.9,29.3,84.7,12.9
sensor_1139,75.3,44.3,99.7,17.1,17.0,94.1,30.2,55.3,61.6
sensor_1140,59.3,47.6,75.9,86.2,57.4,14.6,52.5,57.1,49.6
sensor_1141,34.2,85.2,36.3,31.9,31.9,79.0,42.5,51.0,77.3
sensor_1142,20.4,31.7,75.9,89.1,42.5,41.6,55.5,92.2,68.7
sensor_1143,64.4,50.4,47.7,61.2,84.3,21.3,58.3,79.8,46.6
sensor_1144,62.6,22.4,33.4,35.8,38.2,17.3,47.8,98.4,61.8
sensor_1145,66.9,79.5,90.9,88.8,11.4,20.9,33.7,59.9,93.6
sensor_1146,76.8,21.4,13.1,48.8,72.0,99.0,21.9,87.9,92.6
sensor_1147,91.3,41.9,46.2,60.1,74.0,20.7,90.7,90.8,63.2
sensor_1148,65.4,99.4,14.1,76.4,41.9,50.4,46.8,50.4,85.0
sensor_1149,36.0,52.9,22.1,26.5,78.9,92.4,94.2,17.5,90.5
sensor_1150,63.4,43.3,68.4,44.1,49.4,55.7,62.9,94.9,18.7
sensor_1151,36.7,40.7,60.7,90.7,62.1,85.9,48.4,39.0,38.6
sensor_1152,26.0,22.9,83.2,76.0,98.9,28.9,56.7,61.7,65.3
sensor_1153,18.9,35.6,20.7,34.6,49.5,89.6,35.9,92.5,98.9
sensor_1154,77.7,93.1,69.9,22.7,28.6,85.4,77.9,12.5,91.1
sensor_1155,96.3,58.5,81.8,10.6,84.8,12.3,28.3,94.7,61.3
sensor_1156,75.8,56.8,84.7,36.5,19.9,73.5,85.9,50.0,48.9
sensor_1157,33.6,87.7,99.3,75.8,20.5,41.8,17.1,81.3,75.4
sensor_1158,39.4,55.6,34.8,66.7,56.1,79.9,73.5,38.3,93.1
sensor_1159,49.0,93.8,81.4,38.5,85.6,69.4,88.9,13.2,67.0
sensor_1160,10.7,22.3,43.8,94.8,70.5,33.8,23.6,83.2,75.9
sensor_1161,35.4,27.9,88.7,95.5,87.1,77.4,10.3,16.0,60.1
sensor_1162,28.7,26.0,47.6,33.7,44.2,62.5,67.3,53.5,69.1
sensor_1163,26.2,37.0,30.8,36.3,53.6,81.6,45.3,42.1,53.2
sensor_1164,18.7,20.1,89.2,77.9,35.8,97.1,39.3,69.6,20.4
sensor_1165,51.8,38.7,20.2,72.7,73.4,79.6,53.5,82.3,54.0
sensor_1166,47.0,31.1,36.2,55.6,90.0,80.4,15.5,79.4,33.5
sensor_1167,38.6,45.2,49.7,45.8,92.0,34.1,75.5,40.6,83.6
sensor_1168,37.7,46.8,61.5,25.0,28.5,66.2,95.2,65.1,39.6
sensor_1169,64.4,11.8,74.9,82.1,18.1,73.4,92.0,78.9,59.7
sensor_1170,68.9,56.6,42.6,27.8,24.1,58.2,87.3,30.6,82.0
sensor_1171,91.9,39.8,29.4,75.9,94.5,13.2,11.8,94.5,19.2
sensor_1172,45.8,53.6,24.1,37.1,30.7,79.4,32.2,34.5,21.1
sensor_1173,80.5,68.9,21.8,76.6,34.3,17.6,16.6,74.9,78.5
sensor_1174,47.3,11.3,84.6,64.4,23.7,76.2,81.3,27.5,64.5
sensor_1175,38.1,39.1,56.1,12.1,34.6,28.2,33.8,69.0,52.4
sensor_1176,36.2,18.4,96.9,60.4,53.5,91.6,57.9,32.0,11.5
sensor_1177,54.7,45.4,43.5,59.1,19.7,30.1,97.7,45.7,30.9
sensor_1178,43.2,60.6,67.8,39.9,82.8,97.7,18.6,25.2,87.7
sensor_1179,54.0,32.5,22.7,65.4,52.6,75.0,60.9,30.9,79.0
sensor_1180,32.7,38.0,40.4,23.5,38.9,60.8,46.5,10.5,72.1
sensor_1181,77.9,81.4,59.0,38.1,68.6,38.9,73.7,56.2,87.2
sensor_1182,99.2,17.3,19.4,72.9,43.8,78.0,24.6,77.3,24.9
sensor_1183,49.3,97.4,13.5,48.1,25.3,82.2,53.8,77.3,59.2
sensor_1184,45.9,36.7,49.1,36.5,92.9,70.8,57.0,65.3,43.4
sensor_1185,68.5,22.7,57.0,28.4,65.2,74.2,56.7,32.6,51.6
sensor_1186,94.2,93.3,74.7,86.6,22.2,57.1,84.6,10.9,47.4
sensor_1187,23.5,16.0,97.8,38.0,26.9,72.4,58.3,39.8,15.5
sensor_1188,52.1,24.1,41.5,60.3,30.3,66.5,93.4,34.7,83.8
sensor_1189,88.0,62.5,37.5,66.1,46.3,32.9,58.6,69.3,17.0
sensor_1190,23.7,75.7,35.2,33.6,19.2,81.6,62.8,78.9,39.7
sensor_1191,79.4,63.2,34.9,82.6,88.3,70.1,52.6,25.1,80.4
sensor_1192,98.9,18.2,82.2,23.2,24.8,88.6,39.1,90.5,14.7
sensor_1193,56.0,49.5,69.8,39.4,55.0,20.5,60.4,43.9,44.7
sensor_1194,52.7,38.0,56.9,57.7,89.4,85.7,95.9,95.0,84.9
sensor_1195,74.0,85.5,60.4,54.1,80.9,71.6,60.2,49.1,41.3
sensor_1196,12.3,42.9,51.9,70.2,75.5,29.2,60.3,99.7,94.5
sensor_1197,44.4,26.1,77.2,11.0,49.7,57.3,10.5,37.9,18.5
sensor_1198,43.2,32.8,92.8,64.5,13.0,34.7,53.0,13.9,72.5
sensor_1199,32.7,66.2,97.3,84.0,87.6,93.4,99.7,66.8,54.1
sensor_1200,52.6,88.7,77.5,82.6,13.4,12.6,90.4,23.8,76.2
sensor_1201,88.3,21.8,47.7,86.0,15.0,67.3,15.6,18.8,58.9
sensor_1202,98.4,27.5,65.2,11.5,85.3,86.3,38.5,73.8,91.4
sensor_1203,62.8,94.9,56.4,94.6,46.2,85.3,70.2,15.8,84.2
sensor_1204,55.1,75.5,17.5,49.9,34.8,27.9,55.4,25.5,77.1
sensor_1205,85.3,10.3,34.6,41.5,40.7,61.1,72.6,60.9,51.6
sensor_1206,20.5,18.1,75.6,26.7,63.1,96.8,78.9,80.9,29.6
sensor_1207,43.7,17.3,75.1,32.2,85.3,67.7,91.0,27.2,77.9
sensor_1208,21.9,14.8,73.5,26.0,22.6,38.4,30.3,26.9,89.4
sensor_1209,25.9,36.5,72.7,33.8,54.0,62.0,41.4,67.7,50.4
sensor_1210,66.7,84.8,13.3,85.0,44.7,58.4,28.9,73.1,41.2
sensor_1211,82.9,81.6,28.6,72.9,55.3,84.6,81.4,18.2,79.5
sensor_1212,33.2,52.0,12.8,20.4,69.2,26.8,22.6,62.8,43.5
sensor_1213,44.0,62.9,13.0,73.0,66.6,88.2,10.7,47.9,40.1
sensor_1214,68.2,19.0,92.1,37.5,52.0,26.7,12.0,82.7,51.0
sensor_1215,61.8,49.1,45.9,85.0,32.7,43.6,40.4,71.0,37.0
sensor_1216,97.3,88.9,78.6,91.0,55.6,47.8,79.6,95.8,46.0
sensor_1217,12.6,56.0,92.9,89.7,96.8,94.8,27.8,97.4,77.6
sensor_1218,21.7,39.9,96.3,97.2,37.8,78.8,82.1,51.2,24.9
sensor_1219,10.1,23.3,89.4,37.1,17.2,31.2,28.3,18.1,32.0
sensor_1220,71.6,86.0,43.6,52.9,41.0,52.3,71.7,72.8,92.1
sensor_1221,70.1,84.7,73.5,78.6,18.6,21.6,78.6,22.0,79.5
sensor_1222,90.7,83.7,75.7,48.2,45.4,16.4,53.9,76.6,62.7
sensor_1223,29.9,64.7,79.0,43.2,40.6,84.0,64.9,77.6,92.2
sensor_1224,68.0,22.4,26.9,29.0,49.1,40.5,68.8,48.3,35.6
sensor_1225,44.8,83.8,13.1,96.2,47.9,24.7,71.3,85.0,51.8
sensor_1226,17.4,71.7,19.1,87.5,82.2,11.1,38.7,61.7,44.5
sensor_1227,50.9,53.7,96.3,46.1,79.3,37.2,33.3,67.0,64.3
sensor_1228,82.1,50.5,43.5,52.6,40.1,58.1,42.8,80.6,98.2
sensor_1229,57.8,44.5,70.7,23.5,40.3,94.0,63.1,27.8,83.1
sensor_1230,75.4,50.9,14.4,35.3,20.9,54.0,43.0,89.9,71.7
sensor_1231,32.7,40.3,36.6,83.6,58.8,26.1,42.1,11.6,39.2
sensor_1232,67.2,63.6,42.1,13.3,76.4,32.4,17.6,18.5,75.3
sensor_1233,66.9,48.8,34.7,97.4,71.9,31.9,84.2,85.1,75.9
sensor_1234,57.1,51.2,16.9,43.5,23.2,97.8,67.3,89.3,44.3
sensor_1235,98.1,17.1,93.4,77.4,48.0,12.0,95.4,33.1,68.7
sensor_1236,89.4,85.2,49.0,20.5,27.2,33.5,37.3,56.2,86.8
sensor_1237,31.9,81.8,43.6,52.5,78.4,49.3,77.1,80.0,34.9
sensor_1238,70.4,64.4,91.8,71.0,34.5,46.6,11.7,47.2,21.7
sensor_1239,34.0,63.9,97.7,38.6,29.9,11.6,39.2,15.7,35.9
sensor_1240,74.0,84.3,62.9,67.1,39.6,45.0,93.6,11.1,40.6
sensor_1241,41.1,50.0,51.5,76.8,28.9,72.7,70.5,33.0,12.9
sensor_1242,86.6,97.0,66.8,60.5,41.0,28.7,98.5,43.2,36.2
sensor_1243,38.3,70.6,12.7,66.2,25.0,41.6,48.8,99.5,12.1
sensor_1244,97.5,60.0,54.1,31.1,92.8,21.8,64.6,86.4,18.7
sensor_1245,29.6,99.2,61.3,26.1,24.3,79.9,76.0,46.1,46.7
sensor_1246,77.5,47.6,63.9,38.7,42.6,19.5,89.5,96.3,78.5
sensor_1247,38.6,58.2,45.3,87.2,54.5,51.7,84.3,50.4,93.1
sensor_1248,26.0,35.9,57.9,40.0,51.7,25.5,91.6,44.5,68.7
sensor_1249,97.6,46.9,67.2,65.6,22.5,65.7,99.8,63.9,75.8
sensor_1250,95.0,39.2,32.5,61.2,52.4,18.2,43.3,76.8,89.4
sensor_1251,68.8,59.6,87.6,86.4,24.5,43.2,88.6,25.8,94.2
sensor_1252,92.8,39.0,36.3,90.4,28.6,51.5,32.0,64.2,99.0
sensor_1253,81.6,97.5,55.0,20.0,64.3,39.8,92.7,24.3,51.6
sensor_1254,96.5,10.6,12.9,70.9,87.9,99.5,87.5,16.3,47.5
sensor_1255,33.4,74.4,20.9,79.8,68.2,58.0,12.1,53.2,75.3
sensor_1256,36.3,45.8,83.9,79.1,42.7,74.4,56.0,68.4,48.5
sensor_1257,21.2,23.1,33.6,84.2,77.7,20.0,25.2,47.1,40.6
sensor_1258,92.1,81.5,28.9,18.7,67.7,16.7,90.8,54.2,32.0
sensor_1259,33.4,36.5,50.0,80.8,72.9,61.1,63.4,78.4,23.3
sensor_1260,35.9,29.9,43.3,42.6,36.2,94.9,24.2,67.0,52.7
sensor_1261,49.5,36.5,76.9,72.5,23.2,36.3,44.5,67.2,12.5
sensor_1262,29.0,37.2,62.5,33.3,74.8,77.0,99.6,46.5,65.6
sensor_1263,25.3,40.9,24.0,86.6,38.3,43.7,87.8,53.6,25.2
sensor_1264,57.2,25.8,90.7,11.3,95.1,40.8,37.8,30.2,35.0
sensor_1265,79.9,81.0,68.4,42.0,51.3,92.1,91.5,85.5,86.0
sensor_1266,80.4,57.1,30.5,28.2,69.7,45.8,18.9,39.6,16.0
sensor_1267,59.7,58.1,76.6,88.4,97.2,15.0,60.9,32.3,33.0
sensor_1268,76.5,72.0,68.5,32.0,72.0,51.0,13.6,64.8,59.6
sensor_1269,18.2,27.1,84.7,15.7,91.2,57.0,15.5,30.5,62.7
sensor_1270,62.3,51.7,58.3,80.2,38.7,67.0,27.7,20.5,17.5
sensor_1271,27.7,58.8,29.3,53.8,61.2,62.3,87.4,20.0,89.7
sensor_1272,79.9,27.5,82.4,65.2,51.0,10.0,77.8,64.1,54.3
sensor_1273,25.9,55.6,56.2,95.5,36.9,88.0,32.4,34.7,60.5
sensor_1274,37.8,49.6,97.9,95.0,53.8,38.7,97.6,52.3,24.7
sensor_1275,15.9,48.8,37.4,93.2,49.8,67.3,58.4,26.4,80.0
sensor_1276,78.6,29.2,55.1,38.8,57.7,19.3,37.0,64.8,61.3
sensor_1277,23.9,24.1,78.9,80.6,86.6,64.9,24.1,96.0,98.2
sensor_1278,68.7,80.9,80.1,34.2,93.9,52.4,87.0,37.3,23.0
sensor_1279,40.0,41.8,77.0,50.4,48.2,45.4,47.5,78.5,46.3
sensor_1280,97.1,41.8,82.4,97.7,79.0,11.8,73.3,28.8,74.4
sensor_1281,36.5,43.6,38.9,81.1,39.3,60.3,27.9,29.3,55.2
sensor_1282,87.0,19.6,31.9,39.3,53.1,74.8,52.2,97.3,14.1
sensor_1283,69.3,71.8,91.7,53.8,35.2,64.5,43.7,19.1,67.5
sensor_1284,34.8,43.2,93.0,20.0,22.1,77.4,39.2,79.7,47.2
sensor_1285,23.6,23.5,36.9,28.0,17.9,32.0,61.5,78.6,33.4
sensor_1286,57.7,36.2,12.0,79.4,16.1,80.7,74.0,38.2,86.7
sensor_1287,91.4,50.1,89.5,26.6,52.1,51.4,39.9,70.9,73.3
sensor_1288,33.0,77.2,12.1,20.7,46.9,45.6,53.7,14.3,57.5
sensor_1289,92.1,56.1,11.5,49.3,12.9,55.3,81.8,81.0,54.2
sensor_1290,61.7,67.0,76.0,60.8,97.6,80.2,57.8,81.8,86.1
sensor_1291,17.9,92.9,64.8,99.3,77.6,79.0,48.7,34.9,50.6
sensor_1292,89.2,76.4,68.5,16.6,68.2,40.5,57.4,72.3,83.7
sensor_1293,48.9,11.9,61.7,10.6,84.5,11.7,30.2,48.4,33.3
sensor_1294,30.0,70.6,39.4,51.2,69.8,79.2,61.6,41.9,89.1
sensor_1295,88.0,23.7,79.5,28.5,26.3,12.4,64.1,85.9,80.1
sensor_1296,58.6,95.8,39.4,38.3,30.7,28.8,37.2,48.1,34.4
sensor_1297,94.2,29.5,41.9,22.3,90.8,49.5,85.0,43.7,49.9
sensor_1298,76.9,76.5,44.2,50.2,45.9,28.5,44.2,83.2,18.3
sensor_1299,25.7,92.1,75.1,20.9,78.0,20.8,54.0,64.4,77.4
sensor_1300,38.5,27.2,98.6,81.9,42.4,33.0,20.1,51.1,10.7
sensor_1301,82.2,46.0,87.1,41.9,95.0,85.2,49.0,86.2,37.0
sensor_1302,99.9,17.6,67.9,45.0,52.4,95.5,34.7,68.2,39.1
sensor_1303,22.7,32.4,60.8,21.5,24.0,72.5,78.5,15.5,82.1
sensor_1304,87.9,69.4,43.4,47.3,24.2,25.5,94.2,96.8,76.7
sensor_1305,82.8,26.3,89.0,19.8,24.6,54.7,37.5,66.2,91.7
sensor_1306,33.8,38.9,80.4,39.8,89.9,13.1,88.4,92.1,14.2
sensor_1307,43.9,63.8,57.2,24.2,11.3,90.7,18.3,98.8,20.1
sensor_1308,52.8,98.4,87.0,58.3,22.1,64.2,67.3,38.0,52.2
sensor_1309,91.2,21.5,69.0,42.9,65.2,74.4,53.0,77.3,86.6
sensor_1310,27.6,29.7,21.7,94.7,30.3,17.4,18.5,46.3,89.7
sensor_1311,19.5,30.3,26.6,69.3,39.5,97.6,70.1,56.7,61.9
sensor_1312,89.4,78.3,21.8,47.9,69.4,62.1,94.0,13.1,91.5
sensor_1313,44.6,14.3,27.8,26.4,22.9,13.1,81.5,24.6,39.0
sensor_1314,61.4,53.5,40.9,66.5,83.4,61.9,50.6,29.3,65.9
sensor_1315,59.1,20.6,35.1,79.1,93.1,40.3,90.2,33.0,82.5
sensor_1316,53.8,59.3,69.6,70.1,40.8,56.7,15.7,42.9,67.7
sensor_1317,96.7,21.3,30.4,51.1,20.0,59.5,36.6,88.5,37.6
sensor_1318,49.2,98.5,17.5,87.9,55.4,45.7,94.6,99.8,27.5
sensor_1319,85.5,29.9,11.5,75.9,41.8,64.0,23.6,87.3,57.2
sensor_1320,81.9,42.6,30.7,95.1,57.7,43.7,19.0,24.9,67.0
sensor_1321,65.6,85.8,77.5,23.7,94.7,64.8,87.2,35.0,96.2
sensor_1322,95.3,36.7,91.0,97.4,90.3,52.1,22.2,94.3,10.0
sensor_1323,32.6,60.0,38.0,93.0,65.1,96.2,15.3,46.9,22.9
sensor_1324,83.9,78.7,82.5,95.5,31.8,80.7,68.1,45.2,27.4
sensor_1325,85.0,16.3,96.6,34.8,90.2,21.1,76.5,94.9,23.7
sensor_1326,49.9,70.4,78.4,11.0,20.5,38.0,19.2,66.5,52.4
sensor_1327,69.4,36.9,21.2,76.8,50.8,16.3,98.0,91.9,40.7
sensor_1328,34.5,98.8,44.3,90.1,20.1,51.9,62.6,88.8,72.2
sensor_1329,81.4,78.2,30.2,19.3,99.7,64.2,63.9,42.6,88.2
sensor_1330,69.8,85.2,96.6,47.9,67.4,87.8,35.2,75.1,34.8
sensor_1331,32.6,55.7,47.7,85.2,98.4,17.5,19.1,82.5,31.8
sensor_1332,54.5,63.1,69.8,19.3,80.2,73.7,60.4,85.3,43.8
sensor_1333,56.7,93.2,44.4,64.1,63.1,81.3,95.8,61.7,20.6
sensor_1334,78.7,42.4,70.5,91.3,47.9,45.4,76.9,41.2,80.9
sensor_1335,86.6,61.5,57.0,94.5,83.1,66.5,79.9,70.1,12.3
sensor_1336,61.0,12.2,95.0,18.9,92.8,82.1,75.5,86.4,32.8
sensor_1337,83.6,40.9,97.5,32.4,50.1,14.3,51.2,99.1,33.7
sensor_1338,81.3,28.8,79.3,59.2,38.9,46.1,41.3,83.3,85.9
sensor_1339,87.0,40.0,65.4,76.5,85.2,30.5,84.5,19.1,74.9
sensor_1340,67.5,38.1,54.7,26.7,44.4,33.8,73.6,41.5,82.5
sensor_1341,90.5,77.9,96.2,39.0,20.0,62.3,91.7,73.0,60.4
sensor_1342,78.0,58.4,45.8,72.5,27.9,18.1,63.8,88.8,46.4
sensor_1343,33.7,74.4,57.9,45.7,92.8,19.3,96.0,83.2,89.8
sensor_1344,36.4,61.3,17.4,99.8,49.8,13.7,59.3,70.0,34.6
sensor_1345,54.5,84.9,98.4,32.1,30.3,68.2,29.4,11.1,31.9
sensor_1346,11.9,65.0,85.3,47.3,59.6,61.1,47.1,86.2,62.2
sensor_1347,66.4,89.9,98.0,77.1,73.5,98.3,82.2,33.7,43.3
sensor_1348,90.9,94.2,38.8,42.1,96.1,22.1,87.3,98.7,32.2
sensor_1349,58.4,21.6,98.2,80.5,55.6,52.8,38.2,82.6,64.3
sensor_1350,74.7,74.5,68.0,59.8,98.6,51.8,61.6,14.8,65.6
sensor_1351,54.7,49.2,95.7,25.4,60.3,60.3,15.2,41.2,88.0
sensor_1352,23.3,71.3,15.9,74.6,61.2,95.2,75.4,74.2,54.1
sensor_1353,73.3,94.8,98.7,29.3,50.6,58.4,70.7,39.7,61.2
sensor_1354,88.7,95.1,23.0,58.5,71.3,38.3,10.6,64.8,74.0
sensor_1355,42.2,20.8,97.9,65.2,57.6,75.7,75.9,32.4,64.1
sensor_1356,78.2,26.1,26.3,68.4,54.5,20.7,18.0,95.1,61.6
sensor_1357,95.3,44.8,46.6,72.6,22.5,40.9,18.6,41.9,73.6
sensor_1358,89.0,54.9,26.6,46.1,30.4,98.6,66.9,40.5,77.6
sensor_1359,57.1,11.8,64.5,98.3,15.3,43.5,25.1,96.6,57.6
sensor_1360,10.4,44.6,12.5,91.4,60.6,87.3,95.9,26.9,65.8
sensor_1361,26.3,29.6,41.0,88.4,92.0,63.9,61.6,90.1,73.5
sensor_1362,89.1,26.0,23.4,83.6,12.7,13.5,58.3,96.1,94.6
sensor_1363,82.6,38.0,36.2,41.4,26.2,56.6,90.9,54.7,64.3
sensor_1364,99.7,92.7,94.3,93.5,59.3,45.0,50.3,20.5,59.8
sensor_1365,40.4,42.9,31.5,83.5,26.9,46.3,42.2,92.4,92.8
sensor_1366,82.9,91.8,73.6,85.4,18.9,56.7,69.6,38.8,57.4
sensor_1367,61.7,57.8,45.4,59.1,28.1,38.8,50.3,27.8,94.9
sensor_1368,48.3,49.1,17.4,12.1,19.4,60.5,64.8,37.5,99.2
sensor_1369,79.3,79.3,72.8,57.4,13.7,95.1,37.6,62.8,90.9
sensor_1370,58.8,67.6,76.5,58.0,14.2,37.2,26.9,96.7,14.7
sensor_1371,84.2,88.5,76.4,57.1,26.0,43.3,72.9,91.9,18.9
sensor_1372,95.4,90.2,74.0,16.6,28.3,28.6,67.6,11.4,92.9
sensor_1373,28.5,72.0,93.1,10.4,31.6,83.1,84.7,98.5,98.7
sensor_1374,84.3,43.4,85.3,14.0,22.7,32.1,70.1,89.3,48.0
sensor_1375,61.3,87.7,66.3,28.4,89.0,76.2,34.5,72.1,47.4
sensor_1376,47.2,35.0,91.0,83.4,53.9,64.0,66.3,45.6,72.6
sensor_1377,50.4,69.6,30.0,67.3,20.4,91.1,53.9,26.5,39.4
sensor_1378,94.8,33.1,71.2,93.7,45.8,58.2,35.6,61.3,19.8
sensor_1379,20.7,84.0,89.5,95.4,59.9,54.8,21.4,99.5,52.2
sensor_1380,19.8,30.6,84.9,26.6,78.6,82.5,31.7,65.3,49.4
sensor_1381,22.8,63.7,13.7,93.9,78.9,27.0,28.9,38.6,61.1
sensor_1382,95.3,40.7,95.4,92.9,41.5,28.0,67.9,45.2,23.8
sensor_1383,36.2,15.7,26.5,27.5,69.2,49.5,88.3,16.2,32.1
sensor_1384,57.5,60.1,22.9,96.7,15.1,71.6,46.9,58.0,65.6
sensor_1385,25.3,93.9,43.3,22.9,19.3,31.0,44.3,60.6,83.2
sensor_1386,79.1,20.8,30.2,66.5,60.7,16.6,68.3,91.9,94.3
sensor_1387,68.0,35.4,65.4,50.4,77.3,71.4,65.1,41.0,98.8
sensor_1388,50.9,92.7,23.8,58.2,42.4,23.0,67.3,25.7,97.0
sensor_1389,99.8,89.3,43.1,11.9,82.4,22.9,51.3,73.9,58.7
sensor_1390,30.4,46.2,85.5,41.7,94.7,47.9,47.6,75.9,49.9
sensor_1391,44.9,42.7,39.3,45.9,75.0,28.5,29.5,27.2,27.5
sensor_1392,88.5,69.3,65.6,90.9,59.3,78.7,46.7,67.9,29.2
sensor_1393,22.7,19.8,68.6,37.0,84.9,79.6,66.1,14.6,29.5
sensor_1394,59.6,24.1,44.5,56.5,26.2,49.8,72.4,44.7,70.0
sensor_1395,34.6,77.1,60.6,24.0,46.1,80.3,27.8,47.0,52.1
sensor_1396,88.0,21.7,93.7,38.4,93.9,65.0,76.1,88.7,70.8
sensor_1397,80.7,17.7,10.8,87.5,14.7,86.6,38.2,91.1,28.3
sensor_1398,23.5,29.1,85.6,42.6,91.7,62.5,84.5,52.7,73.3
sensor_1399,36.0,19.1,60.5,91.0,23.7,47.3,57.9,65.6,24.2
sensor_1400,59.7,52.2,98.4,72.0,91.2,97.8,69.7,23.2,50.0
sensor_1401,77.9,22.2,44.2,44.1,25.3,11.8,71.9,83.5,93.7
sensor_1402,62.6,26.3,90.4,97.2,95.1,61.0,89.6,98.8,89.7
sensor_1403,16.2,22.1,37.0,45.4,23.4,99.3,81.1,70.1,96.4
sensor_1404,38.8,74.0,95.3,17.5,64.2,81.9,11.4,90.1,47.6
sensor_1405,25.2,86.5,27.3,35.2,56.8,92.3,54.0,91.4,14.7
sensor_1406,31.5,37.6,50.4,48.9,13.6,77.4,78.3,51.2,17.2
sensor_1407,59.6,21.7,97.9,66.1,76.0,11.7,44.2,91.3,44.2
